iter	Passed	Remaining
1003	79942	7882424
1004	80024	7882576
1005	80102	7882348
1006	80190	7883106
1007	80261	7882213
1008	80333	7881316
1009	80405	7880534
1010	80479	7879879
1011	80556	7879546
1012	80628	7878769
1013	80709	7878842
1014	80782	7878103
1015	80861	7877985
1016	80936	7877439
1017	81022	7877981
1018	81100	7877699
1019	81175	7877250
1020	81258	7877479
1021	81334	7877058
1022	81412	7876832
1023	81487	7876239
1024	81571	7876617
1025	81641	7875618
1026	81721	7875598
1027	81817	7877119
1028	81895	7876868
1029	81967	7875998
1030	82046	7875946
1031	82118	7875097
1032	82197	7874968
1033	82268	7874096
1034	82349	7874144
1035	82424	7873602
1036	82498	7873022
1037	82584	7873545
1038	82659	7873028
1039	82729	7872061
1040	82800	7871117
1041	82889	7871984
1042	82960	7871077
1043	83036	7870691
1044	83110	7870018
1045	83188	7869847
1046	83271	7870033
1047	83349	7869835
1048	83427	7869642
1049	83497	7868682
1050	83578	7868692
1051	83650	7867895
1052	83724	7867349
1053	83806	7867513
1054	83878	7866719
1055	83959	7866721
1056	84047	7867452
1057	84123	7867060
1058	84205	7867192
1059	84285	7867132
1060	84356	7866301
1061	84430	7865734
1062	84512	7865893
1063	84596	7866211
1064	84687	7867194
1065	84760	7866491
1066	84833	7865789
1067	84909	7865412
1068	84987	7865191
1069	85066	7865083
1070	85149	7865279
1071	85241	7866358
1072	85309	7865230
1073	85384	7864740
1074	85484	7866607
1075	85565	7866583
1076	85640	7866093
1077	85715	7865601
1078	85784	7864573
1079	85854	7863643
1080	85926	7862835
1081	86011	7863264
1082	86084	7862653
1083	86157	7861912
1084	86236	7861844
1085	86312	7861428
1086	86385	7860780
1087	86458	7860137
1088	86534	7859664
1089	86615	7859725
1090	86697	7859903
1091	86765	7858783
1092	86847	7858968
1093	86922	7858448
1094	87002	7858458
1095	87081	7858276
1096	87151	7857390
1097	87237	7857925
1098	87316	7857782
1099	87389	7857096
1100	87465	7856736
1101	87538	7856049
1102	87615	7855766
1103	87688	7855131
1104	87763	7854612
1105	87833	7853711
1106	87904	7852859
1107	87986	7852995
1108	88063	7852778
1109	88136	7852057
1110	88221	7852468
1111	88298	7852174
1112	88373	7851772
1113	88451	7851560
1114	88520	7850549
1115	88593	7849861
1116	88686	7851060
1117	88760	7850424
1118	88842	7850614
1119	88916	7850079
1120	88990	7849488
1121	89065	7849012
1122	89149	7849320
1123	89225	7848984
1124	89305	7848934
1125	89385	7848924
1126	89472	7849496
1127	89556	7849847
1128	89629	7849202
1129	89724	7850470
1130	89798	7849967
1131	89876	7849721
1132	89946	7848860
1133	90026	7848820
1134	90100	7848271
1135	90183	7848477
1136	90258	7848085
1137	90333	7847591
1138	90405	7846840
1139	90488	7847074
1140	90585	7848565
1141	90658	7847910
1142	90734	7847577
1143	90808	7846982
1144	90882	7846487
1145	90963	7846547
1146	91045	7846668
1147	91122	7846349
1148	91218	7847762
1149	91300	7847874
1150	91381	7847933
1151	91465	7848225
1152	91571	7850478
1153	91658	7851026
1154	91738	7850953
1155	91810	7850312
1156	91887	7849994
1157	91958	7849160
1158	92032	7848657
1159	92100	7847632
1160	92186	7848097
1161	92273	7848646
1162	92349	7848241
1163	92423	7847701
1164	92499	7847374
1165	92581	7847498
1166	92655	7846976
1167	92739	7847298
1168	92807	7846237
1169	92883	7845878
1170	92971	7846544
1171	93042	7845749
1172	93120	7845526
1173	93202	7845666
1174	93270	7844655
1175	93347	7844400
1176	93422	7843877
1177	93496	7843387
1178	93567	7842583
1179	93641	7842083
1180	93716	7841615
1181	93786	7840769
1182	93865	7840684
1183	93935	7839783
1184	94004	7838872
1185	94083	7838744
1186	94152	7837785
1187	94230	7837665
1188	94314	7837974
1189	94385	7837155
1190	94463	7836954
1191	94548	7837379
1192	94619	7836572
1193	94689	7835788
1194	94773	7836077
1195	94849	7835742
1196	94929	7835708
1197	95005	7835307
1198	95082	7835046
1199	95151	7834160
1200	95229	7833990
1201	95301	7833257
1202	95371	7832430
1203	95446	7831989
1204	95515	7831112
1205	95586	7830316
1206	95660	7829830
1207	95737	7829515
1208	95810	7828993
1209	95886	7828605
1210	95958	7827985
1211	96033	7827497
1212	96112	7827409
1213	96193	7827457
1214	96275	7827672
1215	96348	7827072
1216	96420	7826391
1217	96488	7825412
1218	96561	7824832
1219	96631	7823996
1220	96703	7823327
1221	96775	7822654
1222	96863	7823275
1223	96946	7823526
1224	97020	7822994
1225	97111	7823907
1226	97187	7823524
1227	97264	7823300
1228	97340	7822923
1229	97416	7822627
1230	97492	7822254
1231	97573	7822357
1232	97642	7821453
1233	97716	7820999
1234	97788	7820335
1235	97861	7819752
1236	97942	7819833
1237	98020	7819608
1238	98092	7818950
1239	98168	7818621
1240	98250	7818809
1241	98326	7818465
1242	98404	7818309
1243	98477	7817735
1244	98558	7817819
1245	98629	7817039
1246	98702	7816469
1247	98774	7815846
1248	98846	7815165
1249	98918	7814522
1250	98997	7814459
1251	99067	7813683
1252	99145	7813524
1253	99217	7812885
1254	99301	7813187
1255	99386	7813540
1256	99461	7813125
1257	99533	7812506
1258	99603	7811745
1259	99682	7811652
1260	99755	7811096
1261	99825	7810274
1262	99901	7809988
1263	99979	7809822
1264	100052	7809230
1265	100131	7809179
1266	100207	7808828
1267	100286	7808736
1268	100364	7808575
1269	100435	7807905
1270	100510	7807447
1271	100582	7806844
1272	100654	7806190
1273	100737	7806423
1274	100810	7805898
1275	100884	7805418
1276	100961	7805152
1277	101038	7804979
1278	101119	7805008
1279	101194	7804595
1280	101267	7804074
1281	101352	7804421
1282	101423	7803738
1283	101521	7805115
1284	101605	7805462
1285	101684	7805370
1286	101768	7805661
1287	101856	7806267
1288	101931	7805882
1289	102008	7805596
1290	102088	7805633
1291	102165	7805361
1292	102241	7805093
1293	102318	7804793
1294	102399	7804875
1295	102470	7804219
1296	102554	7804496
1297	102628	7804063
1298	102697	7803160
1299	102775	7803038
1300	102867	7803962
1301	102950	7804148
1302	103023	7803642
1303	103100	7803386
1304	103167	7802375
1305	103240	7801884
1306	103317	7801597
1307	103397	7801602
1308	103472	7801255
1309	103552	7801245
1310	103621	7800370
1311	103699	7800253
