|                  object|        ra|      dec|
|                    char|    double|   double|
|                        |          |         |
|                    null|      null|     null|
 SDSS J144541.58-003409.6 221.423295  -0.56934 
 SDSS J144348.43-002559.8   220.9518  -0.43331 
 SDSS J144322.93-010320.0  220.84557  -1.05558 
 SDSS J144121.04-004534.3  220.33767  -0.75955 
 SDSS J144640.13+000246.4  221.66724   0.04622 
 SDSS J144822.16+002632.9  222.09237   0.44249 
 SDSS J144911.69+000920.6  222.29871   0.15572 
 SDSS J144937.81+005034.0  222.40755   0.84279 
 SDSS J145005.32+004928.9  222.52215   0.82464 
 SDSS J145631.01-000605.4 224.129205  -0.10152 
 SDSS J145435.83-000250.3  223.64931   -0.0473 
 SDSS J145214.54-005742.6  223.06062   -0.9619 
 SDSS J145210.02-004243.5  223.04178  -0.71211 
 SDSS J145059.72-000215.0   222.7488  -0.03755 
 SDSS J145219.96+004344.0 223.083195   0.72889 
 SDSS J145519.71+010410.4  223.83213   1.06954 
 SDSS J150803.94-005341.1 227.016405  -0.89476 
 SDSS J150239.16-001640.5 225.663195  -0.27796 
 SDSS J145838.47+002850.8  224.66031   0.48079 
 SDSS J150302.56+000713.0  225.76068   0.12027 
 SDSS J151135.62+000554.0  227.89842   0.09833 
 SDSS J151124.18-000339.2 227.850795  -0.06087 
 SDSS J151004.34+000152.4 227.518095   0.03124 
 SDSS J150950.21-001921.9  227.45925  -0.32275 
 SDSS J150851.95+010134.8 227.216475   1.02633 
 SDSS J150754.38+010816.8 226.976595   1.13799 
 SDSS J150759.31+011354.2 226.997085   1.23174 
 SDSS J151326.56+002752.1  228.36066   0.46452 
 SDSS J151333.59+004935.0 228.389955   0.82636 
 SDSS J151916.34-010923.2  229.81812  -1.15644 
 SDSS J152133.35-003628.5 230.388975  -0.60793 
 SDSS J151950.99-001636.6 229.962465  -0.27682 
 SDSS J151725.32-002802.4  229.35552  -0.46736 
 SDSS J151624.27-004948.1  229.10115  -0.83003 
 SDSS J151500.89-001705.3  228.75372  -0.28481 
 SDSS J151504.12-004723.3 228.767175   -0.7898 
 SDSS J151333.20+010405.2 228.388365   1.06813 
 SDSS J151423.26+011130.7  228.59691   1.19188 
 SDSS J151640.21+001501.9 229.167585   0.25051 
 SDSS J152547.21-010915.6 231.446715   -1.1543 
 SDSS J152518.32-001202.8  231.32634  -0.20076 
 SDSS J152218.02-005026.7  230.57508   -0.8407 
 SDSS J151948.65-000210.9 229.952715  -0.03636 
 SDSS J151836.30+000113.7  229.65126   0.02049 
 SDSS J152157.84+005047.3  230.49099   0.84646 
 SDSS J151902.35+003208.5   229.7598   0.53567 
 SDSS J151923.71+003459.7  229.84878   0.58327 
 SDSS J152137.86+002757.7  230.40774     0.466 
 SDSS J152637.66+003533.5  231.65697   0.59264 
 SDSS J152642.05+005328.8  231.67521   0.89136 
 SDSS J153548.66-003152.7  233.95278   -0.5313 
 SDSS J153200.26+000010.0  233.00109   0.00278 
 SDSS J153036.27-003050.4 232.651155  -0.51401 
 SDSS J152914.21-010932.7 232.309245  -1.15905 
 SDSS J152905.94+004510.6  232.27476   0.75293 
 SDSS J153130.15+001651.6  232.87563     0.281 
 SDSS J154123.03-011235.0  235.34598  -1.20973 
 SDSS J153753.63-005720.6  234.47346  -0.95571 
 SDSS J154006.00-001606.8 235.024995  -0.26858 
 SDSS J153544.08-005951.3  233.93364  -0.99758 
